index,income_or_expense,category,original_category,month,year,amount
300,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",August,2023,1171.5
301,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",August,2023,0.0
302,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",August,2023,1810.0
303,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",August,2023,544.29
304,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",August,2023,3087.66
305,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",August,2023,4625.91
306,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",August,2023,179.08
307,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",August,2023,1842.07
308,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",August,2023,222.52
309,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",August,2023,0.0
310,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",August,2023,948.0
311,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",August,2023,1947.46
312,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",August,2023,1043.1
313,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",August,2023,0.0
314,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",August,2023,1470.65
315,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",August,2023,1610.06
316,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",August,2023,312.63
317,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",August,2023,22225.58
318,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",September,2023,754520.0
319,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",September,2023,-41291.0
320,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",September,2023,-7118.14
321,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",September,2023,35.0
322,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",September,2023,3137.18
323,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",September,2023,3934.81
324,Income,Other Income,"Revenue, Other Revenue, , Application Fees",September,2023,3073.0
325,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",September,2023,2298.6
326,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",September,2023,565.0
327,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",September,2023,535.0
328,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",September,2023,19903.65
329,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",September,2023,440.0
330,Income,Other Income,"Revenue, Other Revenue, , Cable Income",September,2023,3189.22
331,Income,Other Income,"Revenue, Other Revenue, , Gas Income",September,2023,4006.49
332,Income,Other Income,"Revenue, Other Revenue, , Electric Income",September,2023,4171.66
333,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",September,2023,0.0
334,Income,Other Income,"Revenue, Other Revenue, , Misc Income",September,2023,866.15
335,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",September,2023,65314.68
336,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",September,2023,18732.75
337,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",September,2023,7716.22
338,Expense,Utilities,"Expenses, Utilities Expense, , Water",September,2023,17215.1
339,Expense,Utilities,"Expenses, Utilities Expense, , Gas",September,2023,9818.17
340,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",September,2023,13426.95
341,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",September,2023,598.13
342,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",September,2023,5405.21
343,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",September,2023,5164.68
344,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",September,2023,22190.74
345,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",September,2023,216.34
346,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",September,2023,4349.05
347,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",September,2023,3265.71
348,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",September,2023,5064.91
349,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",September,2023,0.0
350,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",September,2023,6035.68
351,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",September,2023,1190.0
352,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",September,2023,2568.57
353,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",September,2023,1201.12
354,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",September,2023,0.0
355,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",September,2023,1875.0
356,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",September,2023,523.43
357,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",September,2023,2748.1
358,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",September,2023,4304.65
359,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",September,2023,61.0
360,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",September,2023,1632.54
361,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",September,2023,941.73
362,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",September,2023,56.0
363,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",September,2023,0.0
364,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",September,2023,1917.28
365,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",September,2023,711.89
366,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",September,2023,0.0
367,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",September,2023,0.0
368,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",September,2023,1421.71
369,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",September,2023,720.38
370,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",September,2023,22652.33
371,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",October,2023,754203.0
372,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",October,2023,-40331.0
373,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",October,2023,-7662.03
374,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",October,2023,0.0
375,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",October,2023,0.0
376,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",October,2023,3578.35
377,Income,Other Income,"Revenue, Other Revenue, , Application Fees",October,2023,3381.0
378,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",October,2023,2753.44
379,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",October,2023,816.0
380,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",October,2023,510.0
381,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",October,2023,19796.7
382,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",October,2023,435.0
383,Income,Other Income,"Revenue, Other Revenue, , Cable Income",October,2023,3315.1
384,Income,Other Income,"Revenue, Other Revenue, , Gas Income",October,2023,4350.12
385,Income,Other Income,"Revenue, Other Revenue, , Electric Income",October,2023,4447.9
386,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",October,2023,0.0
387,Income,Other Income,"Revenue, Other Revenue, , Misc Income",October,2023,1083.11
388,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",October,2023,65314.68
389,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",October,2023,18732.75
390,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",October,2023,8057.73
391,Expense,Utilities,"Expenses, Utilities Expense, , Water",October,2023,17591.2
392,Expense,Utilities,"Expenses, Utilities Expense, , Gas",October,2023,9628.35
393,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",October,2023,14191.83
394,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",October,2023,634.45
395,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",October,2023,5674.7
396,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",October,2023,5129.62
397,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",October,2023,22392.43
398,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",October,2023,263.72
399,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",October,2023,4213.68
400,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",October,2023,3157.8
401,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",October,2023,4718.65
402,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",October,2023,0.0
403,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",October,2023,6116.71
404,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",October,2023,1079.88
405,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",October,2023,1890.02
406,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",October,2023,1493.48
407,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",October,2023,0.0
408,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",October,2023,1840.0
409,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",October,2023,539.97
410,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",October,2023,3166.54
411,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",October,2023,3586.73
412,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",October,2023,80.0
413,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",October,2023,1291.2
414,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",October,2023,514.2
415,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",October,2023,0.0
416,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",October,2023,0.0
417,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",October,2023,2262.86
418,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",October,2023,876.24
419,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",October,2023,0.0
420,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",October,2023,0.0
421,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",October,2023,1518.02
422,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",October,2023,796.7
423,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",October,2023,22246.34
424,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",November,2023,753639.0
425,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",November,2023,-40997.0
426,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",November,2023,-5032.87
427,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",November,2023,50.0
428,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",November,2023,3083.97
429,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",November,2023,4168.92
430,Income,Other Income,"Revenue, Other Revenue, , Application Fees",November,2023,3117.0
431,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",November,2023,2540.23
432,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",November,2023,640.0
433,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",November,2023,490.0
434,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",November,2023,20143.94
435,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",November,2023,450.0
436,Income,Other Income,"Revenue, Other Revenue, , Cable Income",November,2023,3225.49
437,Income,Other Income,"Revenue, Other Revenue, , Gas Income",November,2023,4131.8
438,Income,Other Income,"Revenue, Other Revenue, , Electric Income",November,2023,4518.39
439,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",November,2023,0.0
440,Income,Other Income,"Revenue, Other Revenue, , Misc Income",November,2023,1136.45
441,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",November,2023,65314.68
442,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",November,2023,18732.75
443,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",November,2023,7953.91
444,Expense,Utilities,"Expenses, Utilities Expense, , Water",November,2023,18048.14
445,Expense,Utilities,"Expenses, Utilities Expense, , Gas",November,2023,9883.62
446,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",November,2023,14061.09
447,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",November,2023,621.68
448,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",November,2023,5712.16
449,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",November,2023,5239.16
450,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",November,2023,22530.25
451,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",November,2023,241.46
452,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",November,2023,4465.31
453,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",November,2023,3096.51
454,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",November,2023,5183.36
455,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",November,2023,3351.89
456,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",November,2023,6239.25
457,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",November,2023,1383.97
458,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",November,2023,2003.57
459,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",November,2023,1248.11
460,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",November,2023,0.0
461,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",November,2023,1860.0
462,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",November,2023,529.45
463,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",November,2023,2871.42
464,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",November,2023,4133.49
465,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",November,2023,113.54
466,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",November,2023,1643.39
467,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",November,2023,1367.0
468,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",November,2023,0.0
469,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",November,2023,0.0
470,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",November,2023,2105.79
471,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",November,2023,749.52
472,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",November,2023,0.0
473,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",November,2023,0.0
474,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",November,2023,1710.56
475,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",November,2023,588.32
476,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",November,2023,22135.03
477,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",December,2023,753848.0
478,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",December,2023,-39687.0
479,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",December,2023,-3978.32
480,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",December,2023,35.0
481,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",December,2023,0.0
482,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",December,2023,3918.23
483,Income,Other Income,"Revenue, Other Revenue, , Application Fees",December,2023,3741.0
484,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",December,2023,3079.3
485,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",December,2023,430.0
486,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",December,2023,520.0
487,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",December,2023,20301.05
488,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",December,2023,410.0
489,Income,Other Income,"Revenue, Other Revenue, , Cable Income",December,2023,3308.67
490,Income,Other Income,"Revenue, Other Revenue, , Gas Income",December,2023,4876.57
491,Income,Other Income,"Revenue, Other Revenue, , Electric Income",December,2023,4428.7
492,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",December,2023,0.0
493,Income,Other Income,"Revenue, Other Revenue, , Misc Income",December,2023,980.98
494,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",December,2023,65314.68
495,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",December,2023,18732.75
496,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",December,2023,8187.94
497,Expense,Utilities,"Expenses, Utilities Expense, , Water",December,2023,17871.86
498,Expense,Utilities,"Expenses, Utilities Expense, , Gas",December,2023,9936.47
499,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",December,2023,14323.08
500,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",December,2023,630.41
501,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",December,2023,5963.13
502,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",December,2023,5176.45
503,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",December,2023,22293.61
504,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",December,2023,256.79
505,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",December,2023,4617.84
506,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",December,2023,3364.3
507,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",December,2023,4817.61
508,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",December,2023,3165.39
509,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",December,2023,6441.15
510,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",December,2023,953.1
511,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",December,2023,1813.0
512,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",December,2023,1260.52
513,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",December,2023,0.0
514,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",December,2023,1840.0
515,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",December,2023,541.7
516,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",December,2023,2536.79
517,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",December,2023,3402.13
518,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",December,2023,173.5
519,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",December,2023,1502.94
520,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",December,2023,303.59
521,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",December,2023,72.65
522,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",December,2023,0.0
523,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",December,2023,2218.13
524,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",December,2023,903.67
525,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",December,2023,0.0
526,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",December,2023,0.0
527,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",December,2023,1594.5
528,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",December,2023,831.51
529,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",December,2023,22406.38
530,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",January,2024,756420.0
531,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",January,2024,-40118.0
532,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",January,2024,-8802.44
533,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",January,2024,0.0
534,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",January,2024,3255.26
535,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",January,2024,4751.35
536,Income,Other Income,"Revenue, Other Revenue, , Application Fees",January,2024,3260.0
537,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",January,2024,3294.44
538,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",January,2024,370.0
539,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",January,2024,475.0
540,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",January,2024,21132.24
541,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",January,2024,415.0
542,Income,Other Income,"Revenue, Other Revenue, , Cable Income",January,2024,3371.32
543,Income,Other Income,"Revenue, Other Revenue, , Gas Income",January,2024,4591.05
544,Income,Other Income,"Revenue, Other Revenue, , Electric Income",January,2024,3901.53
545,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",January,2024,0.0
546,Income,Other Income,"Revenue, Other Revenue, , Misc Income",January,2024,809.59
547,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",January,2024,65314.68
548,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",January,2024,18732.75
549,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",January,2024,8052.71
550,Expense,Utilities,"Expenses, Utilities Expense, , Water",January,2024,18189.75
551,Expense,Utilities,"Expenses, Utilities Expense, , Gas",January,2024,9909.84
552,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",January,2024,15042.48
553,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",January,2024,618.39
554,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",January,2024,5917.71
555,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",January,2024,5220.75
556,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",January,2024,22390.58
557,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",January,2024,247.88
558,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",January,2024,4834.57
559,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",January,2024,3364.46
560,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",January,2024,4112.31
561,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",January,2024,3661.75
562,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",January,2024,6165.34
563,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",January,2024,1207.84
564,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",January,2024,2175.88
565,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",January,2024,1278.96
566,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",January,2024,0.0
567,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",January,2024,1840.0
568,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",January,2024,552.36
569,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",January,2024,1988.14
570,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",January,2024,1851.58
571,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",January,2024,209.0
572,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",January,2024,1330.63
573,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",January,2024,1165.53
574,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",January,2024,0.0
575,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",January,2024,0.0
576,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",January,2024,2230.73
577,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",January,2024,1183.28
578,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",January,2024,0.0
579,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",January,2024,0.0
580,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",January,2024,1516.54
581,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",January,2024,1105.08
582,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",January,2024,22326.32
583,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",February,2024,755799.0
584,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",February,2024,-39325.0
585,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",February,2024,-5219.3
586,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",February,2024,60.0
587,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",February,2024,0.0
588,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",February,2024,4134.07
589,Income,Other Income,"Revenue, Other Revenue, , Application Fees",February,2024,2961.0
590,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",February,2024,2604.3
591,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",February,2024,510.0
592,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",February,2024,510.0
593,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",February,2024,21663.31
594,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",February,2024,440.0
595,Income,Other Income,"Revenue, Other Revenue, , Cable Income",February,2024,3098.1
596,Income,Other Income,"Revenue, Other Revenue, , Gas Income",February,2024,4285.82
597,Income,Other Income,"Revenue, Other Revenue, , Electric Income",February,2024,4209.66
598,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",February,2024,0.0
599,Income,Other Income,"Revenue, Other Revenue, , Misc Income",February,2024,1230.1
600,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",February,2024,65314.68
